ID,Name,Intro,PicUrl
1,塞壬唱片-MSR,塞壬唱片MSR(Monster Siren Records)，泰拉世界十世纪最大的音乐发行商之一。从异教重金属乐队至偶像产业， 塞壬唱片MSR旗下的签约艺人涉猎音乐各方面。根据最新统计数据，塞壬唱片MSR占有泰拉世界30%以上的音乐市场。 (*注：塞壬唱片MSR为游戏明日方舟世界观中虚构的唱片公司，与一切实际生活中的组织、公司无关。）,\usr\source\singerpic\1.jpg
2,黄霄雲,黄霄云，1998年12月22日出生于贵州省黔南布依族苗族自治州罗甸县龙坪镇，中国内地流行乐女歌手、影视演员，2015年，浙江卫视《中国好声音第四季》获得汪峰组四强、全国16强。2016年，在青春校园网络剧《薛定谔的猫》中饰演艾晓欣。2017年，发行了单曲《征战》、《还可以爱吗》。,\usr\source\singerpic\2.jpg
3,毛不易,毛不易，原名王维家，1994年10月1日出生于黑龙江省齐齐哈尔市泰来县，中国内地流行乐男歌手，毕业于杭州师范大学护理专业。2017年，参加选秀娱乐节目《明日之子》的比赛，获得全国总决赛冠军，从而正式进入演艺圈；9月1日，推出首张个人音乐专辑《巨星不易工作室 No.1》；11月11日，推出个人原创单曲《项羽虞姬》。,\usr\source\singerpic\3.jpg
4,倉木麻衣,仓木麻衣（1982年10月28日－），日本女歌手，生于日本千叶县船桥市，现居东京。现隶属NORTHERN MUSIC公司LOOP事务所（2007年－）。她的父亲是电影导演、实业家山前五十洋。祖父是诗人山前实治。2007年之前曾隶属GIZA Studio。2001年4月进入立命馆大学产业社会学院人文科学系就读，并于2005年3月毕业。截止2014年12月，她举办了超过300次的个人演唱会。CD总销量突破1600万枚（日本公信榜ORICON调查）。,\usr\source\singerpic\4.jpg
5,黄诗扶,composer / producer / singer / erhu / keyboard player,\usr\source\singerpic\5.jpg
6,萧忆情Alex,五婶：http://5sing.kugou.com/xiaoyiqing 暂时只接原创歌，有事请联系工作室QQ：3200399271 评论、私信每天都会看哟~,\usr\source\singerpic\6.jpg
7,于海航,游戏音乐制作人，游戏配乐师，毕业于中央音乐学院，曾任网易游戏公司高级游戏音频设计师。秦央Music Studio 创始人。主要音乐作品《秦时明月世界》《惊梦》《率土之滨》《天下3》《一拳超人》《时空中的绘旅人》《斗破苍穹》等,\usr\source\singerpic\7.jpg
8,DECO*27,DECO*27（日语：デコ?ニーナ，1986年12月16日－）为日本的男性音乐创作家。福冈县人。所属事务所为P._nc（ピンク），唱片公司为U/M/A/A（ユーマ）。,\usr\source\singerpic\8.jpg
9,沈辑,2021年推出专辑《时空中的绘旅人 游戏原声》,\usr\source\singerpic\9.jpg
10,The Kid LAROI,"The Kid LAROI,来自澳大利亚悉尼的新生代说唱歌手，出生于2003年8月17日，因和已故说唱歌手Juice WRLD合作歌曲GO而受到业内的广泛关注，未来可期！近日与原厂牌Grade A解约，被知名流行歌手Justin Bieber所签约。",\usr\source\singerpic\10.jpg
